South Dakota, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,69.0,-1.5
189608,69.3,-1.2
189708,66.2,-4.3
189808,70.3,-0.2
189908,70.0,-0.5
190008,73.8,3.3
190108,71.3,0.8
190208,67.7,-2.8
190308,67.6,-2.9
190408,68.2,-2.3
190508,70.9,0.4
190608,68.7,-1.8
190708,69.0,-1.5
190808,66.6,-3.9
190908,74.0,3.5
191008,66.9,-3.6
191108,66.2,-4.3
191208,67.4,-3.1
191308,73.4,2.9
191408,68.7,-1.8
191508,64.6,-5.9
191608,68.8,-1.7
191708,67.2,-3.3
191808,70.2,-0.3
191908,70.3,-0.2
192008,68.5,-2.0
192108,70.5,0.0
192208,73.0,2.5
192308,66.6,-3.9
192408,68.7,-1.8
192508,71.9,1.4
192608,70.0,-0.5
192708,66.0,-4.5
192808,69.9,-0.6
192908,72.6,2.1
193008,72.7,2.2
193108,71.2,0.7
193208,71.6,1.1
193308,69.2,-1.3
193408,71.1,0.6
193508,71.5,1.0
193608,75.2,4.7
193708,77.1,6.6
193808,74.8,4.3
193908,70.8,0.3
194008,70.1,-0.4
194108,72.7,2.2
194208,70.1,-0.4
194308,72.7,2.2
194408,69.4,-1.1
194508,70.5,0.0
194608,67.7,-2.8
194708,76.1,5.6
194808,71.3,0.8
194908,73.4,2.9
195008,66.8,-3.7
195108,67.7,-2.8
195208,70.2,-0.3
195308,71.3,0.8
195408,70.5,0.0
195508,75.1,4.6
195608,69.0,-1.5
195708,70.6,0.1
195808,72.8,2.3
195908,74.6,4.1
196008,71.2,0.7
196108,74.0,3.5
196208,70.0,-0.5
196308,71.6,1.1
196408,67.8,-2.7
196508,69.5,-1.0
196608,66.8,-3.7
196708,69.4,-1.1
196808,68.8,-1.7
196908,74.0,3.5
197008,72.8,2.3
197108,73.0,2.5
197208,70.3,-0.2
197308,74.7,4.2
197408,67.1,-3.4
197508,70.8,0.3
197608,73.9,3.4
197708,66.2,-4.3
197808,70.3,-0.2
197908,68.5,-2.0
198008,70.0,-0.5
198108,70.1,-0.4
198208,70.9,0.4
198308,77.1,6.6
198408,73.8,3.3
198508,67.2,-3.3
198608,67.7,-2.8
198708,67.6,-2.9
198808,72.8,2.3
198908,72.1,1.6
199008,71.7,1.2
199108,72.8,2.3
199208,64.9,-5.6
199308,68.0,-2.5
199408,69.0,-1.5
199508,73.7,3.2
199608,71.2,0.7
199708,69.4,-1.1
199808,72.2,1.7
199908,71.0,0.5
200008,73.2,2.7
200108,73.4,2.9
200208,70.4,-0.1
200308,74.8,4.3
200408,66.1,-4.4
200508,71.0,0.5
200608,72.2,1.7
200708,71.4,0.9
200808,71.2,0.7
200908,67.4,-3.1
201008,73.6,3.1
201108,71.6,1.1
201208,71.0,0.5
201308,71.6,1.1
201408,69.3,-1.2
201508,69.8,-0.7
201608,71.0,0.5
201708,67.4,-3.1
201808,70.0,-0.5
201908,68.4,-2.1
