Tennessee, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,76.0,0.0
189608,77.7,1.7
189708,75.8,-0.2
189808,76.4,0.4
189908,78.5,2.5
190008,79.2,3.2
190108,75.2,-0.8
190208,76.7,0.7
190308,76.6,0.6
190408,75.5,-0.5
190508,75.9,-0.1
190608,76.8,0.8
190708,76.5,0.5
190808,75.9,-0.1
190908,77.3,1.3
191008,75.0,-1.0
191108,75.5,-0.5
191208,74.9,-1.1
191308,78.0,2.0
191408,76.2,0.2
191508,73.3,-2.7
191608,76.9,0.9
191708,73.8,-2.2
191808,78.8,2.8
191908,75.9,-0.1
192008,73.9,-2.1
192108,76.1,0.1
192208,74.6,-1.4
192308,75.8,-0.2
192408,77.8,1.8
192508,76.6,0.6
192608,77.2,1.2
192708,72.4,-3.6
192808,77.5,1.5
192908,74.6,-1.4
193008,76.0,0.0
193108,74.4,-1.6
193208,77.4,1.4
193308,75.3,-0.7
193408,78.2,2.2
193508,78.1,2.1
193608,79.5,3.5
193708,78.2,2.2
193808,78.1,2.1
193908,75.4,-0.6
194008,76.0,0.0
194108,77.7,1.7
194208,74.6,-1.4
194308,78.9,2.9
194408,76.4,0.4
194508,75.6,-0.4
194608,72.5,-3.5
194708,79.2,3.2
194808,75.0,-1.0
194908,75.1,-0.9
195008,72.1,-3.9
195108,77.8,1.8
195208,77.1,1.1
195308,76.3,0.3
195408,79.4,3.4
195508,77.8,1.8
195608,76.7,0.7
195708,75.2,-0.8
195808,75.2,-0.8
195908,77.2,1.2
196008,76.9,0.9
196108,74.1,-1.9
196208,76.2,0.2
196308,75.0,-1.0
196408,74.4,-1.6
196508,75.3,-0.7
196608,73.9,-2.1
196708,71.4,-4.6
196808,77.6,1.6
196908,74.4,-1.6
197008,76.3,0.3
197108,74.1,-1.9
197208,75.1,-0.9
197308,74.9,-1.1
197408,74.5,-1.5
197508,76.7,0.7
197608,73.0,-3.0
197708,76.9,0.9
197808,76.4,0.4
197908,74.9,-1.1
198008,79.6,3.6
198108,74.5,-1.5
198208,74.3,-1.7
198308,79.6,3.6
198408,75.0,-1.0
198508,74.8,-1.2
198608,74.6,-1.4
198708,78.4,2.4
198808,78.2,2.2
198908,75.0,-1.0
199008,76.0,0.0
199108,75.5,-0.5
199208,71.8,-4.2
199308,77.3,1.3
199408,73.9,-2.1
199508,79.4,3.4
199608,75.0,-1.0
199708,74.2,-1.8
199808,76.4,0.4
199908,77.0,1.0
200008,77.1,1.1
200108,76.7,0.7
200208,77.8,1.8
200308,77.1,1.1
200408,72.2,-3.8
200508,78.9,2.9
200608,79.2,3.2
200708,82.6,6.6
200808,75.2,-0.8
200908,74.9,-1.1
201008,79.8,3.8
201108,77.8,1.8
201208,75.6,-0.4
201308,74.7,-1.3
201408,75.9,-0.1
201508,74.2,-1.8
201608,79.0,3.0
201708,74.6,-1.4
201808,76.5,0.5
201908,77.0,1.0
