Utah, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,69.4,0.0
189608,68.4,-1.0
189708,69.1,-0.3
189808,71.4,2.0
189908,64.8,-4.6
190008,66.4,-3.0
190108,70.4,1.0
190208,68.0,-1.4
190308,69.8,0.4
190408,68.2,-1.2
190508,69.5,0.1
190608,67.8,-1.6
190708,66.6,-2.8
190808,66.9,-2.5
190908,69.5,0.1
191008,68.9,-0.5
191108,68.6,-0.8
191208,67.1,-2.3
191308,69.3,-0.1
191408,69.2,-0.2
191508,69.5,0.1
191608,66.4,-3.0
191708,68.2,-1.2
191808,66.9,-2.5
191908,70.4,1.0
192008,67.4,-2.0
192108,67.8,-1.6
192208,69.8,0.4
192308,67.0,-2.4
192408,68.6,-0.8
192508,67.3,-2.1
192608,69.4,0.0
192708,66.9,-2.5
192808,68.0,-1.4
192908,70.4,1.0
193008,68.8,-0.6
193108,70.7,1.3
193208,69.0,-0.4
193308,69.1,-0.3
193408,72.0,2.6
193508,70.5,1.1
193608,70.2,0.8
193708,71.1,1.7
193808,70.2,0.8
193908,70.6,1.2
194008,71.6,2.2
194108,67.8,-1.6
194208,69.5,0.1
194308,70.0,0.6
194408,69.3,-0.1
194508,69.6,0.2
194608,70.3,0.9
194708,68.6,-0.8
194808,69.0,-0.4
194908,69.1,-0.3
195008,68.0,-1.4
195108,68.4,-1.0
195208,70.6,1.2
195308,68.6,-0.8
195408,68.2,-1.2
195508,71.0,1.6
195608,67.2,-2.2
195708,69.7,0.3
195808,72.4,3.0
195908,69.2,-0.2
196008,69.5,0.1
196108,70.6,1.2
196208,69.2,-0.2
196308,70.4,1.0
196408,68.6,-0.8
196508,67.5,-1.9
196608,70.2,0.8
196708,71.2,1.8
196808,64.4,-5.0
196908,72.8,3.4
197008,71.9,2.5
197108,71.3,1.9
197208,68.8,-0.6
197308,69.9,0.5
197408,68.3,-1.1
197508,67.2,-2.2
197608,67.2,-2.2
197708,70.1,0.7
197808,68.4,-1.0
197908,68.3,-1.1
198008,68.5,-0.9
198108,70.7,1.3
198208,70.9,1.5
198308,70.4,1.0
198408,69.8,0.4
198508,69.8,0.4
198608,71.6,2.2
198708,68.3,-1.1
198808,70.2,0.8
198908,68.6,-0.8
199008,69.7,0.3
199108,70.8,1.4
199208,70.6,1.2
199308,67.8,-1.6
199408,73.2,3.8
199508,71.8,2.4
199608,71.7,2.3
199708,70.2,0.8
199808,71.6,2.2
199908,69.1,-0.3
200008,73.0,3.6
200108,72.4,3.0
200208,70.7,1.3
200308,72.7,3.3
200408,68.6,-0.8
200508,69.0,-0.4
200608,69.7,0.3
200708,72.8,3.4
200808,71.6,2.2
200908,69.7,0.3
201008,69.3,-0.1
201108,72.5,3.1
201208,73.0,3.6
201308,71.0,1.6
201408,67.7,-1.7
201508,71.0,1.6
201608,70.1,0.7
201708,71.6,2.2
201808,72.4,3.0
201908,72.8,3.4
