Washington, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,26.2,-2.2
189601,30.2,1.8
189701,28.0,-0.4
189801,26.5,-1.9
189901,29.1,0.7
190001,34.0,5.6
190101,28.7,0.3
190201,28.0,-0.4
190301,30.9,2.5
190401,31.0,2.6
190501,29.8,1.4
190601,30.8,2.4
190701,19.3,-9.1
190801,30.2,1.8
190901,20.2,-8.2
191001,26.5,-1.9
191101,26.7,-1.7
191201,27.3,-1.1
191301,24.4,-4.0
191401,33.7,5.3
191501,26.8,-1.6
191601,16.3,-12.1
191701,26.0,-2.4
191801,33.0,4.6
191901,30.5,2.1
192001,28.2,-0.2
192101,30.0,1.6
192201,21.4,-7.0
192301,31.3,2.9
192401,25.9,-2.5
192501,31.0,2.6
192601,30.9,2.5
192701,27.2,-1.2
192801,29.0,0.6
192901,19.8,-8.6
193001,15.0,-13.4
193101,33.2,4.8
193201,26.3,-2.1
193301,29.6,1.2
193401,35.6,7.2
193501,29.3,0.9
193601,31.3,2.9
193701,14.2,-14.2
193801,31.1,2.7
193901,33.4,5.0
194001,30.7,2.3
194101,32.1,3.7
194201,25.6,-2.8
194301,22.1,-6.3
194401,29.0,0.6
194501,32.4,4.0
194601,30.9,2.5
194701,25.8,-2.6
194801,28.9,0.5
194901,14.8,-13.6
195001,12.7,-15.7
195101,28.6,0.2
195201,24.4,-4.0
195301,37.2,8.8
195401,26.9,-1.5
195501,29.4,1.0
195601,29.0,0.6
195701,18.4,-10.0
195801,33.9,5.5
195901,30.2,1.8
196001,25.2,-3.2
196101,32.7,4.3
196201,27.6,-0.8
196301,24.8,-3.6
196401,32.1,3.7
196501,30.6,2.2
196601,30.3,1.9
196701,35.0,6.6
196801,30.8,2.4
196901,19.7,-8.7
197001,29.1,0.7
197101,31.0,2.6
197201,26.6,-1.8
197301,28.1,-0.3
197401,27.1,-1.3
197501,29.0,0.6
197601,32.2,3.8
197701,26.1,-2.3
197801,31.5,3.1
197901,18.8,-9.6
198001,23.8,-4.6
198101,36.2,7.8
198201,28.4,0.0
198301,35.6,7.2
198401,31.9,3.5
198501,26.3,-2.1
198601,33.2,4.8
198701,29.8,1.4
198801,29.1,0.7
198901,31.9,3.5
199001,34.5,6.1
199101,28.5,0.1
199201,34.6,6.2
199301,24.4,-4.0
199401,36.7,8.3
199501,32.6,4.2
199601,29.0,0.6
199701,30.4,2.0
199801,32.0,3.6
199901,34.3,5.9
200001,30.4,2.0
200101,31.8,3.4
200201,32.9,4.5
200301,36.1,7.7
200401,29.8,1.4
200501,31.5,3.1
200601,35.9,7.5
200701,28.6,0.2
200801,27.4,-1.0
200901,30.1,1.7
201001,36.3,7.9
201101,32.1,3.7
201201,30.7,2.3
201301,29.1,0.7
201401,34.1,5.7
201501,35.1,6.7
201601,33.0,4.6
201701,24.8,-3.6
201801,35.3,6.9
201901,34.2,5.8
