West Virginia, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,26.5,-4.0
189601,30.5,0.0
189701,27.0,-3.5
189801,34.4,3.9
189901,30.0,-0.5
190001,32.4,1.9
190101,31.7,1.2
190201,28.7,-1.8
190301,29.5,-1.0
190401,25.9,-4.6
190501,25.2,-5.3
190601,35.9,5.4
190701,37.4,6.9
190801,28.9,-1.6
190901,35.5,5.0
191001,30.9,0.4
191101,35.7,5.2
191201,22.2,-8.3
191301,39.0,8.5
191401,33.7,3.2
191501,30.2,-0.3
191601,37.4,6.9
191701,32.2,1.7
191801,19.3,-11.2
191901,32.0,1.5
192001,27.5,-3.0
192101,33.5,3.0
192201,28.7,-1.8
192301,33.6,3.1
192401,28.5,-2.0
192501,29.9,-0.6
192601,28.4,-2.1
192701,30.9,0.4
192801,30.2,-0.3
192901,29.9,-0.6
193001,32.4,1.9
193101,31.8,1.3
193201,41.6,11.1
193301,37.8,7.3
193401,34.9,4.4
193501,31.4,0.9
193601,24.8,-5.7
193701,40.9,10.4
193801,31.4,0.9
193901,34.2,3.7
194001,18.5,-12.0
194101,30.6,0.1
194201,28.8,-1.7
194301,33.7,3.2
194401,31.0,0.5
194501,26.7,-3.8
194601,32.7,2.2
194701,37.1,6.6
194801,22.4,-8.1
194901,39.7,9.2
195001,42.9,12.4
195101,33.3,2.8
195201,36.6,6.1
195301,36.3,5.8
195401,32.0,1.5
195501,28.6,-1.9
195601,27.2,-3.3
195701,28.4,-2.1
195801,27.0,-3.5
195901,28.3,-2.2
196001,33.0,2.5
196101,24.4,-6.1
196201,29.1,-1.4
196301,24.9,-5.6
196401,30.7,0.2
196501,30.0,-0.5
196601,24.5,-6.0
196701,34.1,3.6
196801,25.0,-5.5
196901,27.7,-2.8
197001,23.2,-7.3
197101,26.4,-4.1
197201,33.3,2.8
197301,31.0,0.5
197401,39.2,8.7
197501,33.6,3.1
197601,27.2,-3.3
197701,16.1,-14.4
197801,21.7,-8.8
197901,25.4,-5.1
198001,30.9,0.4
198101,24.0,-6.5
198201,25.0,-5.5
198301,30.4,-0.1
198401,26.1,-4.4
198501,23.9,-6.6
198601,28.6,-1.9
198701,29.3,-1.2
198801,26.4,-4.1
198901,36.8,6.3
199001,38.0,7.5
199101,32.6,2.1
199201,32.1,1.6
199301,36.3,5.8
199401,24.0,-6.5
199501,32.4,1.9
199601,29.5,-1.0
199701,30.7,0.2
199801,37.6,7.1
199901,34.5,4.0
200001,29.5,-1.0
200101,29.4,-1.1
200201,35.0,4.5
200301,25.5,-5.0
200401,27.5,-3.0
200501,34.5,4.0
200601,39.4,8.9
200701,35.5,5.0
200801,30.8,0.3
200901,27.2,-3.3
201001,27.7,-2.8
201101,27.1,-3.4
201201,34.9,4.4
201301,33.9,3.4
201401,23.5,-7.0
201501,28.8,-1.7
201601,27.6,-2.9
201701,37.5,7.0
201801,27.0,-3.5
201901,32.0,1.5
