Wisconsin, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,7.3,-5.1
189601,15.4,3.0
189701,12.6,0.2
189801,18.5,6.1
189901,10.2,-2.2
190001,19.1,6.7
190101,14.3,1.9
190201,15.4,3.0
190301,13.0,0.6
190401,5.7,-6.7
190501,5.9,-6.5
190601,18.9,6.5
190701,10.4,-2.0
190801,17.1,4.7
190901,15.0,2.6
191001,12.8,0.4
191101,12.3,-0.1
191201,-5.1,-17.5
191301,13.6,1.2
191401,20.4,8.0
191501,10.8,-1.6
191601,13.1,0.7
191701,7.3,-5.1
191801,1.8,-10.6
191901,19.8,7.4
192001,5.1,-7.3
192101,20.2,7.8
192201,10.6,-1.8
192301,15.7,3.3
192401,4.2,-8.2
192501,12.8,0.4
192601,13.7,1.3
192701,10.3,-2.1
192801,15.0,2.6
192901,0.9,-11.5
193001,6.1,-6.3
193101,21.4,9.0
193201,20.4,8.0
193301,22.4,10.0
193401,20.6,8.2
193501,9.7,-2.7
193601,6.6,-5.8
193701,8.8,-3.6
193801,12.2,-0.2
193901,19.1,6.7
194001,6.9,-5.5
194101,16.4,4.0
194201,16.2,3.8
194301,9.2,-3.2
194401,23.3,10.9
194501,10.1,-2.3
194601,15.7,3.3
194701,17.9,5.5
194801,7.5,-4.9
194901,16.0,3.6
195001,11.4,-1.0
195101,9.5,-2.9
195201,14.0,1.6
195301,17.5,5.1
195401,12.2,-0.2
195501,12.9,0.5
195601,14.8,2.4
195701,7.2,-5.2
195801,17.6,5.2
195901,6.5,-5.9
196001,16.6,4.2
196101,13.0,0.6
196201,8.7,-3.7
196301,3.1,-9.3
196401,19.7,7.3
196501,10.4,-2.0
196601,5.3,-7.1
196701,16.1,3.7
196801,13.7,1.3
196901,11.0,-1.4
197001,6.2,-6.2
197101,6.2,-6.2
197201,7.4,-5.0
197301,17.4,5.0
197401,13.5,1.1
197501,15.6,3.2
197601,10.0,-2.4
197701,0.6,-11.8
197801,7.7,-4.7
197901,2.5,-9.9
198001,13.6,1.2
198101,15.1,2.7
198201,3.3,-9.1
198301,18.7,6.3
198401,11.2,-1.2
198501,10.2,-2.2
198601,14.7,2.3
198701,19.4,7.0
198801,9.8,-2.6
198901,21.1,8.7
199001,24.1,11.7
199101,10.6,-1.8
199201,20.3,7.9
199301,15.1,2.7
199401,3.9,-8.5
199501,16.8,4.4
199601,10.1,-2.3
199701,11.6,-0.8
199801,20.3,7.9
199901,12.0,-0.4
200001,15.1,2.7
200101,19.1,6.7
200201,24.0,11.6
200301,13.7,1.3
200401,10.7,-1.7
200501,14.2,1.8
200601,27.7,15.3
200701,20.3,7.9
200801,14.7,2.3
200901,6.1,-6.3
201001,15.1,2.7
201101,12.2,-0.2
201201,20.8,8.4
201301,16.8,4.4
201401,6.0,-6.4
201501,15.3,2.9
201601,16.2,3.8
201701,19.4,7.0
201801,15.2,2.8
201901,13.1,0.7
